team,year,league,,,Over 500,Champion,Playoffs,Playoff Win,Final 2,,,
PH1,1959,N,0.868621975,-1.109862826,1,0,1,1,0,,,
STL,1959,N,1.113982546,0.483023843,1,0,1,1,1,,,
SYR,1959,N,1.142924168,-0.201487188,1,0,1,0,0,,,
BOS,1960,N,2.083711326,-0.58811929,1,1,1,1,1,,,
CIN,1960,N,2.143432796,-0.318078034,0,0,0,0,0,,,
DET,1960,N,2.606332844,0.912065992,0,0,1,0,0,,,
LAL,1960,N,1.792935772,0.354232406,0,0,1,1,0,,,
NYK,1960,N,1.972631361,0.192153637,0,0,0,0,0,,,
PH1,1960,N,2.254112029,-0.392743945,1,0,1,0,0,,,
STL,1960,N,2.40430708,-0.140266552,1,0,1,1,1,,,
SYR,1960,N,2.571478444,0.337893971,0,0,1,1,0,,,
BOS,1961,N,1.971930834,-1.067127563,1,1,1,1,1,,,
CH2,1961,N,1.52271631,-0.320315775,0,0,0,0,0,,,
CIN,1961,N,2.665741173,-0.109408728,1,0,1,0,0,,,
DET,1961,N,2.110467089,0.578331553,0,0,1,1,0,,,
LAL,1961,N,2.529918221,0.708274221,1,0,1,1,1,,,
NYK,1961,N,1.657858025,-0.699033645,0,0,0,0,0,,,
PH1,1961,N,2.93197481,-0.137334793,1,0,1,1,0,,,
STL,1961,N,2.500674805,0.095094859,0,0,0,0,0,,,
SYR,1961,N,2.658641183,0.205958681,1,0,1,0,0,,,
BOS,1962,N,2.018749005,-0.5343811,1,1,1,1,1,,,
CH2,1962,N,1.343688458,0.383151134,0,0,0,0,0,,,
CIN,1962,N,2.257121935,0.234844424,1,0,1,1,0,,,
DET,1962,N,1.790665017,0.058889047,0,0,1,0,0,,,
LAL,1962,N,1.399141369,0.071122084,1,0,1,1,1,,,
NYK,1962,N,1.408096144,-0.022714075,0,0,0,0,0,,,
SFW,1962,N,1.671426601,-0.928709118,0,0,0,0,0,,,
STL,1962,N,1.34989334,0.159793067,1,0,1,1,0,,,
SYR,1962,N,2.563192781,0.62564942,1,0,1,0,0,,,
BAL,1963,N,1.266363358,0.36176236,0,0,0,0,0,,,
BOS,1963,N,1.226518512,-0.901357547,1,1,1,1,1,,,
CIN,1963,N,1.715138794,0.239156621,1,0,1,1,0,,,
DET,1963,N,1.24930073,0.012925534,0,0,0,0,0,,,
LAL,1963,N,1.195409839,0.652256945,1,0,1,0,0,,,
