team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,total games,shots made/100,shots attempted/100,free throws made/100,free throws attempted/100,assists/100,fouls commited/100,points scored/100,points allowed/100,Playoffs,Playoff Win,Final 2
LAL,1965,N,3597,8109,2363,3057,1936,2035,9557,9312,45,35,0.5625,Yes,No,80,4496.25,10136.25,2953.75,3821.25,2420,2543.75,11946.25,11640,Yes,Yes,Yes
NYK,1965,N,3559,7910,2217,3078,1896,2227,9335,9544,30,50,0.375,No,No,80,4448.75,9887.5,2771.25,3847.5,2370,2783.75,11668.75,11930,No,No,No
PHI,1965,N,3650,8189,2087,3141,1905,2095,9387,9016,55,25,0.6875,Yes,No,80,4562.5,10236.25,2608.75,3926.25,2381.25,2618.75,11733.75,11270,Yes,No,No
SFW,1965,N,3557,8512,2129,2879,1872,2069,9243,9456,35,45,0.4375,No,No,80,4446.25,10640,2661.25,3598.75,2340,2586.25,11553.75,11820,No,No,No
STL,1965,N,3379,7836,2155,2870,1782,2179,8913,8960,36,44,0.45,No,No,80,4223.75,9795,2693.75,3587.5,2227.5,2723.75,11141.25,11200,Yes,Yes,No
BAL,1966,N,3664,8578,2025,2771,1652,2153,9353,9882,20,61,0.24691358,No,No,81,4523.45679,10590.12346,2500,3420.987654,2039.506173,2658.024691,11546.91358,12200,No,No,No
BOS,1966,N,3724,8325,2216,2963,1962,2138,9664,9015,60,21,0.740740741,Yes,No,81,4597.530864,10277.77778,2735.802469,3658.024691,2422.222222,2639.506173,11930.8642,11129.62963,Yes,Yes,No
CHI,1966,N,3565,8505,2037,2784,1827,2205,9167,9469,33,48,0.407407407,No,No,81,4401.234568,10500,2514.814815,3437.037037,2255.555556,2722.222222,11317.28395,11690.12346,Yes,No,No
CIN,1966,N,3654,8137,2179,2806,1858,2073,9487,9509,39,42,0.481481482,No,No,81,4511.111111,10045.67901,2690.123457,3464.197531,2293.82716,2559.259259,11712.34568,11739.50617,Yes,No,No
DET,1966,N,3523,8542,1969,2725,1465,2198,9015,9461,30,51,0.37037037,No,No,81,4349.382716,10545.67901,2430.864198,3364.197531,1808.641975,2713.580247,11129.62963,11680.24691,No,No,No
LAL,1966,N,3786,8466,2192,2917,1906,2168,9764,9736,36,45,0.444444444,No,No,81,4674.074074,10451.85185,2706.17284,3601.234568,2353.08642,2676.54321,12054.32099,12019.75309,Yes,No,No
NYK,1966,N,3637,8025,2151,2980,1782,2110,9425,9671,36,45,0.444444444,No,No,81,4490.123457,9907.407407,2655.555556,3679.012346,2200,2604.938272,11635.80247,11939.50617,Yes,No,No
PHI,1966,N,3912,8103,2319,3411,2138,1906,10143,9380,68,13,0.839506173,Yes,Yes,81,4829.62963,10003.7037,2862.962963,4211.111111,2639.506173,2353.08642,12522.22222,11580.24691,Yes,Yes,Yes
SFW,1966,N,3814,8818,2283,3021,1876,2120,9911,9680,44,37,0.543209877,Yes,No,81,4708.641975,10886.41975,2818.518519,3729.62963,2316.049383,2617.283951,12235.80247,11950.61728,Yes,Yes,Yes
STL,1966,N,3547,8004,2110,2979,1708,2173,9204,9331,39,42,0.481481482,No,No,81,4379.012346,9881.481481,2604.938272,3677.777778,2108.641975,2682.716049,11362.96296,11519.75309,Yes,Yes,No
ANA,1967,A,3172,7606,2141,2916,1297,2174,8704,9057,25,53,0.320512821,No,No,78,4066.666667,9751.282051,2744.871795,3738.461538,1662.820513,2787.179487,11158.97436,11611.53846,No,No,No
BAL,1967,N,3691,8428,2245,2994,1534,2127,9627,9660,36,46,0.43902439,No,No,82,4501.219512,10278.04878,2737.804878,3651.219512,1870.731707,2593.902439,11740.2439,11780.4878,No,No,No
BOS,1967,N,3686,8371,2151,2983,1798,2147,9523,9184,54,28,0.658536585,Yes,Yes,82,4495.121951,10208.53659,2623.170732,3637.804878,2192.682927,2618.292683,11613.41463,11200,Yes,Yes,Yes
