team,year,league,shots made,shots attempted,free throws made,free throws attempted,offensive rebounds,defensive rebounds,total rebounds,assists,fouls commited,steals,turnovers,blocks,total points,made shots allowed,shot attempts allowed,made free throws against,free throw attempts allowed,offensive rebounds allowed,defensive rebounds allowed,total rebounds allowed,assists allowed,fouls against,steals against,turnovers against,blocks against,3 pointers allowed,points allowed,pace,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
SEA,1975,N,3542,7730,1642,2309,1217,2498,3715,1935,2133,866,1615,355,8726,3486,7464,1777,2407,1239,2713,3952,2109,2111,745,1852,388,0,8749,110.48084,43,39,0.524390244,Yes,No,Yes,No,No
STL,1975,A,3790,8177,1500,1985,0,0,4288,1987,2147,0,0,0,9146,3714,7986,1899,2384,0,0,4152,1971,1888,0,0,0,89,9416,0,35,49,0.416666667,No,No,No,No,No
UTS,1975,A,715,1498,386,467,0,0,781,378,468,0,0,0,1839,740,1520,366,478,0,0,742,429,461,0,0,0,20,1866,0,4,12,0.25,No,No,No,No,No
VIR,1975,A,3431,7844,1939,2533,0,0,3920,1724,2142,0,0,0,8873,3869,7905,1844,2437,0,0,4151,2014,2203,0,0,0,92,9674,0,15,68,0.180722892,No,No,No,No,No
WA1,1975,N,3416,7234,1595,2215,1019,2812,3831,1823,1921,696,1672,485,8427,3377,7636,1482,1992,1145,2687,3832,1705,1988,810,1510,338,0,8236,107.21139,48,34,0.585365854,Yes,No,Yes,No,No
ATL,1976,N,3279,7176,1836,2451,1244,2512,3756,1882,2302,733,1779,330,8394,3409,7137,1909,2527,1121,2533,3654,2020,2174,803,1692,442,0,8727,106.42715,31,51,0.378048781,No,No,No,No,No
BOS,1976,N,3462,7775,1648,2181,1241,2966,4207,2010,2039,506,1673,263,8572,3559,7904,1616,2180,1110,2753,3863,1918,1954,699,1369,349,0,8734,110.53403,44,38,0.536585366,Yes,No,Yes,Yes,No
BUF,1976,N,3366,7475,1880,2492,1213,2623,3836,1883,1842,683,1699,392,8612,3786,7917,1404,1859,1268,2721,3989,2192,2129,729,1607,446,0,8976,109.58273,30,52,0.365853659,No,No,No,No,No
CHI,1976,N,3249,7186,1613,2159,1292,2705,3997,1989,1871,699,1552,364,8111,3306,7095,1425,1907,1055,2559,3614,1917,2166,723,1598,460,0,8037,101.97722,44,38,0.536585366,Yes,No,Yes,No,No
CLE,1976,N,3451,7688,1468,1993,1312,2563,3875,1845,1951,579,1356,472,8370,3265,7268,1748,2325,1202,2711,3913,1736,1908,660,1542,389,0,8278,104.19456,43,39,0.524390244,Yes,No,Yes,No,No
DEN,1976,N,3590,7471,2053,2783,1288,2700,3988,2262,2142,953,2011,471,9233,3585,7743,1635,2231,1269,2481,3750,2082,2285,941,1944,470,0,8805,113.73312,50,32,0.609756098,Yes,No,Yes,No,No
DET,1976,N,3764,7792,1442,1960,1169,2495,3664,2004,2200,877,1718,459,8970,3561,7539,1933,2543,1317,2637,3954,1952,1827,793,1828,381,0,9055,111.03856,44,38,0.536585366,Yes,No,Yes,No,No
GSW,1976,N,3724,7832,1649,2172,1300,2639,3939,2120,2058,904,1624,432,9097,3567,7584,1699,2282,1256,2640,3896,2114,1939,757,1778,420,0,8833,110.12861,46,36,0.56097561,Yes,No,Yes,Yes,No
HOU,1976,N,3535,7325,1656,2103,1254,2632,3886,1913,2132,616,1600,411,8726,3424,7356,1746,2252,1121,2232,3353,1883,1978,547,1395,350,0,8594,104.05725,49,33,0.597560976,Yes,No,Yes,Yes,No
IND,1976,N,3522,7840,1714,2297,1409,2584,3993,2009,2030,924,1609,458,8758,3599,7629,1705,2252,1378,2770,4148,2097,2043,715,1792,466,0,8903,109.2994,36,46,0.43902439,No,No,No,No,No
KCK,1976,N,3561,7733,1706,2140,1222,2593,3815,1982,2173,849,1576,386,8828,3422,7244,1912,2513,1097,2739,3836,1744,2030,722,1755,392,0,8756,109.00784,40,42,0.487804878,No,No,No,No,No
LAL,1976,N,3663,7657,1437,1941,1177,2628,3805,2057,1867,801,1538,445,8763,3515,7781,1510,1990,1348,2625,3973,1900,1816,763,1599,362,0,8540,107.45652,53,29,0.646341463,Yes,No,Yes,Yes,No
MIL,1976,N,3668,7840,1553,2072,1220,2519,3739,1970,2094,790,1648,342,8889,3712,7753,1721,2330,1265,2613,3878,2193,1940,736,1644,410,0,9145,110.82437,30,52,0.365853659,No,No,No,No,No
NOJ,1976,N,3443,7602,1688,2183,1249,2828,4077,1854,2099,613,1706,357,8574,3486,7712,1833,2448,1318,2781,4099,1748,2125,835,1615,361,0,8805,109.4268,35,47,0.426829268,No,No,No,No,No
NYK,1976,N,3659,7530,1587,2078,974,2680,3654,1956,2007,714,1680,304,8905,3577,7610,1752,2327,1163,2716,3879,1847,2008,793,1612,412,0,8906,110.19775,40,42,0.487804878,No,No,No,No,No
NYN,1976,N,3096,7222,1673,2274,1157,2547,3704,1422,2178,802,1630,435,7865,3279,7074,1863,2488,1149,2937,4086,1910,1970,778,1735,512,0,8421,105.46594,22,60,0.268292683,No,No,No,No,No
PHI,1976,N,3511,7322,2012,2732,1293,2752,4045,1966,2074,814,1915,561,9034,3575,7920,1561,2074,1416,2448,3864,2012,2232,823,1769,371,0,8711,110.7927,50,32,0.609756098,Yes,No,Yes,Yes,Yes
PHO,1976,N,3406,7249,1791,2345,1059,2493,3552,2100,2089,750,1830,346,8603,3320,7192,1903,2525,1180,2594,3774,1856,2325,897,1835,440,0,8543,108.84756,34,48,0.414634146,No,No,No,No,No
POR,1976,N,3623,7537,1917,2515,1260,2703,3963,1990,2220,868,1757,492,9163,3408,7404,1889,2514,1197,2510,3707,1817,2242,840,1765,478,0,8705,110.11047,49,33,0.597560976,Yes,Yes,Yes,Yes,Yes
