team,year,league,free throws made,assists,total points,made shots allowed,shot attempts allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
WA1,1985,N,1704,1748,8442,3435,7360,0,0,1,0,0
ATL,1986,N,2019,2077,9024,3158,6998,1,0,1,1,0
BOS,1986,N,1740,2421,9237,3470,7500,1,0,1,1,1
CHI,1986,N,1754,2143,8596,3337,6910,0,0,1,0,0
CLE,1986,N,1779,1912,8558,3556,7441,0,0,0,0,0
DAL,1986,N,2148,2017,9567,3586,7503,1,0,1,0,0
DEN,1986,N,1975,2317,9569,3636,7343,0,0,1,0,0
DET,1986,N,1991,2021,9118,3376,7307,1,0,1,1,0
GSW,1986,N,1970,2083,9188,3615,7339,1,0,1,1,0
HOU,1986,N,1746,2227,8765,3348,7225,1,0,1,1,0
IND,1986,N,1696,2170,8698,3344,6969,0,0,1,0,0
LAC,1986,N,1866,1971,8566,3759,7254,0,0,0,0,0
LAL,1986,N,2012,2428,9656,3520,7531,1,1,1,1,1
MIL,1986,N,1953,2044,9052,3247,6906,1,0,1,1,0
NJN,1986,N,2000,1991,8893,3418,7125,0,0,0,0,0
NYK,1986,N,1725,1941,8508,3500,7142,0,0,0,0,0
PHI,1986,N,1971,1943,8729,3537,7204,1,0,1,0,0
PHO,1986,N,1900,2354,9111,3623,7336,0,0,0,0,0
POR,1986,N,2269,2359,9667,3649,7523,1,0,1,0,0
SAC,1986,N,1974,2185,9095,3656,7469,0,0,0,0,0
SAS,1986,N,1701,2220,8882,3704,7310,0,0,0,0,0
SEA,1986,N,1948,2184,9325,3514,7329,0,0,1,1,0
UTA,1986,N,1735,2240,8844,3347,7338,1,0,1,0,0
WA1,1986,N,1935,1750,8690,3522,7453,1,0,1,0,0
ATL,1987,N,1873,2062,8844,3243,6885,1,0,1,1,0
BOS,1987,N,1846,2448,9315,3497,7260,1,0,1,1,0
CHI,1987,N,1685,2149,8609,3276,6967,1,0,1,1,0
CLE,1987,N,1813,2070,8566,3383,7101,1,0,1,0,0
DAL,1987,N,1980,1984,8960,3468,7385,1,0,1,1,0
DEN,1987,N,1841,2300,9573,3608,7356,1,0,1,1,0
DET,1987,N,1977,2011,8957,3334,7134,1,0,1,1,1
GSW,1987,N,1754,2005,8771,3627,7244,0,0,0,0,0
HOU,1987,N,1936,1936,8935,3454,7420,1,0,1,0,0
IND,1987,N,1546,1977,8581,3335,7060,0,0,0,0,0
LAC,1987,N,1644,1885,8103,3513,7360,0,0,0,0,0
LAL,1987,N,1956,2347,9250,3551,7467,1,1,1,1,1
MIL,1987,N,1832,2194,8697,3344,7063,1,0,1,0,0
NJN,1987,N,1682,1795,8235,3437,6918,0,0,0,0,0
NYK,1987,N,1750,2012,8655,3202,6710,0,0,1,0,0
PHI,1987,N,2087,1897,8667,3501,7063,0,0,0,0,0
PHO,1987,N,1681,2332,8901,3609,7248,0,0,0,0,0
POR,1987,N,2079,2307,9518,3492,7341,1,0,1,0,0
SAC,1987,N,1795,2116,8855,3718,7465,0,0,0,0,0
SAS,1987,N,1769,2344,9314,3851,7678,0,0,1,0,0
SEA,1987,N,1826,2146,9135,3298,6798,1,0,1,0,0
UTA,1987,N,1802,2407,8899,3273,7283,1,0,1,1,0
WA1,1987,N,1914,1875,8653,3459,7235,0,0,1,0,0
ATL,1988,N,2168,1990,9102,3363,7124,1,0,1,0,0
BOS,1988,N,1840,2189,8958,3475,7183,1,0,1,0,0
CHA,1988,N,1580,2323,8566,3555,7113,0,0,0,0,0
CHI,1988,N,1656,2213,8726,3361,7098,1,0,1,1,0
CLE,1988,N,1821,2260,8923,3385,7346,1,0,1,0,0
DAL,1988,N,1785,1867,8484,3422,7304,0,0,0,0,0
DEN,1988,N,1821,2282,9675,3701,7484,1,0,1,0,0
DET,1988,N,1830,2027,8740,3140,7022,1,1,1,1,1
GSW,1988,N,1904,2009,9558,3693,8000,1,0,1,1,0
HOU,1988,N,1909,2016,8897,3413,7290,1,0,1,0,0
IND,1988,N,1795,2012,8767,3453,7400,0,0,0,0,0
LAC,1988,N,1606,2208,8712,3747,7738,0,0,0,0,0
LAL,1988,N,2011,2282,9406,3541,7540,1,0,1,1,1
MIA,1988,N,1477,1958,8016,3384,6928,0,0,0,0,0
MIL,1988,N,1955,2071,8932,3301,6901,1,0,1,1,0
NJN,1988,N,1653,1793,8506,3560,7162,0,0,0,0,0
NYK,1988,N,1779,2083,9567,3636,7358,1,0,1,1,0
PHI,1988,N,1970,2110,9174,3658,7296,1,0,1,0,0
PHO,1988,N,2051,2280,9727,3589,7736,1,0,1,1,0
POR,1988,N,1789,2212,9395,3572,7322,0,0,1,0,0
SAC,1988,N,1620,1970,8651,3589,7420,0,0,0,0,0
