team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
POR,1971,N,3462,7840,1835,2494,2090,1873,8759,9557,18,64,0.219512195,0,0,0,0,0
PTC,1971,A,3912,8226,2052,2725,1835,2185,10016,10617,25,59,0.297619048,0,0,0,0,0
SEA,1971,N,3461,7457,2035,2659,1976,1738,8957,8919,47,35,0.573170732,1,0,0,0,0
UTS,1971,A,3731,7767,2259,2863,1854,2060,9892,9412,60,24,0.714285714,1,0,1,1,0
VIR,1971,A,3913,8458,2101,2788,1764,2234,9988,9914,45,39,0.535714286,1,0,1,1,0
ATL,1972,N,3700,8033,1819,2482,2074,1916,9219,9212,46,36,0.56097561,1,0,1,0,0
BAL,1972,N,3656,7883,1294,1742,2051,1672,8606,8331,52,30,0.634146342,1,0,1,0,0
BOS,1972,N,3811,8511,1616,2073,2320,1805,9238,8566,68,14,0.829268293,1,0,1,1,0
BUF,1972,N,3536,7877,1399,1966,2218,2034,8471,9223,21,61,0.256097561,0,0,0,0,0
CAR,1972,A,3794,7657,2065,2860,2089,2394,9707,9296,57,27,0.678571429,1,0,1,1,0
CHI,1972,N,3480,7835,1574,2073,2023,1881,8534,8248,51,31,0.62195122,1,0,1,0,0
CLE,1972,N,3431,7884,1556,2084,2106,1941,8418,8637,32,50,0.390243902,0,0,0,0,0
DEN,1972,A,3433,7501,2253,2994,1936,2237,9193,8932,47,37,0.55952381,1,0,1,0,0
DET,1972,N,3666,7916,1710,2294,1882,1812,9042,9024,40,42,0.487804878,0,0,0,0,0
DLC,1972,A,3500,7644,2157,2861,1898,2145,9302,9669,28,56,0.333333333,0,0,0,0,0
GSW,1972,N,3715,8163,1493,1871,1985,1693,8923,8669,47,35,0.573170732,1,0,1,1,0
HOU,1972,N,3772,8249,1706,2152,1939,1949,9250,9392,33,49,0.402439024,0,0,0,0,0
IND,1972,A,3668,7948,2123,2874,1860,2056,9631,9451,51,33,0.607142857,1,1,1,1,1
KCK,1972,N,3621,7581,1580,2036,2118,2054,8822,9061,36,46,0.43902439,0,0,1,1,0
